,Date,Positive,Negative,Neutral,Compound
1041,2018-12-31,0.1308918918918919,0.06775675675675677,0.8013243243243242,0.24261621621621624
1042,2019-01-01,0.1878888888888889,0.05614814814814814,0.7558888888888888,0.290462962962963
1043,2019-01-02,0.15312500000000004,0.0918125,0.7550625000000001,0.21265624999999996
1044,2019-01-03,0.1861282051282051,0.07152564102564103,0.7422948717948715,0.2955782051282051
1045,2019-01-04,0.11054166666666666,0.09166666666666667,0.7977500000000001,0.13399166666666665
1046,2019-01-05,0.11996000000000001,0.04092,0.8391199999999999,0.252308
1047,2019-01-06,0.09880769230769229,0.052653846153846155,0.8486153846153844,0.18986153846153847
1048,2019-01-07,0.13168421052631576,0.03763157894736842,0.8306842105263158,0.26558947368421054
1049,2019-01-08,0.11342307692307693,0.06903846153846153,0.817576923076923,0.15708461538461535
1050,2019-01-09,0.12196296296296298,0.05311111111111111,0.8249629629629629,0.22637037037037036
1051,2019-01-10,0.11664285714285712,0.07417857142857143,0.809142857142857,0.16039642857142855
1052,2019-01-11,0.1202,0.06450000000000002,0.8153,0.25397
1053,2019-01-12,0.10116666666666668,0.021666666666666667,0.8771666666666667,0.25833333333333336
1054,2019-01-13,0.1348095238095238,0.07057142857142858,0.7946190476190477,0.11328095238095233
1055,2019-01-14,0.09331034482758621,0.04927586206896552,0.8573448275862069,0.12826896551724137
1056,2019-01-15,0.09266666666666666,0.06871428571428571,0.8386666666666668,0.1300857142857143
1057,2019-01-16,0.1706,0.028066666666666667,0.8012666666666668,0.3503933333333333
1058,2019-01-17,0.1428636363636364,0.05118181818181819,0.8059999999999999,0.20200000000000004
1059,2019-01-18,0.13977272727272727,0.05822727272727273,0.802,0.2621772727272727
1060,2019-01-19,0.08630000000000002,0.060850000000000015,0.8528,0.063115
1061,2019-01-20,0.10626666666666666,0.065,0.8286666666666667,0.20010666666666665
1062,2019-01-21,0.06972222222222221,0.10044444444444445,0.8297222222222224,-0.030577777777777773
1063,2019-01-22,0.09152941176470587,0.08094117647058824,0.8275882352941175,0.013088235294117656
1064,2019-01-23,0.11416129032258066,0.05296774193548387,0.8328709677419356,0.17553548387096776
1065,2019-01-24,0.1625,0.07290909090909091,0.7644545454545454,0.3012818181818182
1066,2019-01-25,0.1617777777777778,0.032722222222222236,0.8054444444444445,0.38057222222222226
1067,2019-01-26,0.0955625,0.0729375,0.8314375,0.14535
1068,2019-01-27,0.12200000000000001,0.05790909090909091,0.820181818181818,0.2734272727272727
1069,2019-01-28,0.12215999999999999,0.0934,0.7844399999999999,0.126468
1070,2019-01-29,0.10895652173913044,0.04108695652173913,0.8498695652173913,0.23593478260869566
1071,2019-01-30,0.07883333333333334,0.058055555555555555,0.8631666666666667,0.1019611111111111
1072,2019-01-31,0.08648888888888889,0.052311111111111114,0.8611777777777775,0.18004222222222224
1073,2019-02-01,0.09530769230769229,0.07473076923076923,0.8298461538461539,0.1469076923076923
1074,2019-02-02,0.10179310344827586,0.04541379310344827,0.8528275862068966,0.13928275862068967
1075,2019-02-03,0.136375,0.09479166666666666,0.7688749999999999,0.19521249999999998
1076,2019-02-04,0.16431578947368425,0.06894736842105263,0.7666842105263159,0.2695157894736841
1077,2019-02-05,0.1649090909090909,0.06703030303030305,0.7680909090909092,0.25043939393939396
1078,2019-02-06,0.12246666666666667,0.04962222222222223,0.8279111111111112,0.19075555555555554
1079,2019-02-07,0.11627272727272728,0.06657575757575758,0.817121212121212,0.15513030303030304
1080,2019-02-08,0.11512121212121212,0.061151515151515144,0.8236969696969699,0.12804848484848488
1081,2019-02-09,0.10547619047619047,0.05557142857142857,0.8389047619047619,0.15074285714285715
1082,2019-02-10,0.1286842105263158,0.11852631578947367,0.7527368421052633,0.07521578947368421
1083,2019-02-11,0.08468181818181818,0.08568181818181818,0.8296818181818183,0.06869090909090911
1084,2019-02-12,0.11199999999999999,0.05207407407407407,0.8360000000000001,0.23695555555555556
1085,2019-02-13,0.1361290322580645,0.06487096774193549,0.7989999999999998,0.22614193548387096
1086,2019-02-14,0.10892682926829267,0.1334878048780488,0.7576341463414634,-0.03238292682926829
1087,2019-02-15,0.1407272727272727,0.10222727272727271,0.7571818181818181,0.14519090909090906
1088,2019-02-16,0.1499473684210526,0.045526315789473686,0.8045789473684212,0.25182631578947373
1089,2019-02-17,0.1726,0.06096,0.76644,0.316884
1090,2019-02-18,0.11913157894736841,0.06678947368421052,0.8141315789473685,0.19270526315789474
1091,2019-02-19,0.11436842105263158,0.06826315789473685,0.8173421052631579,0.15004473684210526
1092,2019-02-20,0.10808108108108108,0.04235135135135135,0.8495405405405403,0.24394324324324324
1093,2019-02-21,0.07975862068965518,0.057896551724137935,0.862448275862069,0.11607586206896553
1094,2019-02-22,0.12109999999999999,0.04916666666666667,0.8297333333333333,0.2522866666666667
1095,2019-02-23,0.08609756097560975,0.03934146341463414,0.8745609756097562,0.15532195121951217
1096,2019-02-24,0.09961290322580645,0.07519354838709677,0.8251612903225806,0.03920967741935484
1097,2019-02-25,0.1064848484848485,0.055939393939393955,0.8376363636363637,0.1461818181818182
1098,2019-02-26,0.12304761904761903,0.04171428571428571,0.8352857142857143,0.21830952380952387
1099,2019-02-27,0.07565,0.024,0.9003499999999999,0.1446
1100,2019-02-28,0.10238095238095238,0.09585714285714288,0.8017142857142856,0.07849999999999999
1101,2019-03-01,0.11373076923076925,0.07123076923076924,0.814923076923077,0.051953846153846156
1102,2019-03-02,0.14169230769230767,0.0816923076923077,0.7765,0.2046923076923077
1103,2019-03-03,0.08892000000000001,0.050879999999999995,0.8602000000000001,0.13474
1104,2019-03-04,0.13695348837209306,0.029534883720930234,0.8334883720930232,0.37546976744186034
