,Date,Positive,Negative,Neutral,Compound,Closing_price,Opening_price,High_price,Low_price
483,6/21/2017,0.076285714,0.086428571,0.837285714,-0.003985714,2702.00375,2805.0975,2828.94375,2661.31125
484,6/22/2017,0.1278,0.0612,0.811,0.11632,2763.29125,2702.00375,2783.75875,2643.75875
485,6/23/2017,0.113222222,0.115,0.771777778,-0.097966667,2740.5925,2763.29125,2780.27,2726.04125
486,6/24/2017,0.067875,0.01525,0.916875,0.16005,2598.15875,2740.5925,2764.0375,2556.8225
487,6/25/2017,0.1,0,0.9,0.3332125,2630.59499,2598.15875,2696.88625,2530.63125
488,6/26/2017,0.177222222,0.055111111,0.767777778,0.254533333,2513.42999,2630.59499,2633.1075,2387.63749
489,6/27/2017,0.1399,0.0352,0.8249,0.17819,2556.1675,2513.42999,2597.27625,2332.60125
490,6/28/2017,0.08275,0.06375,0.8535,0.056675,2591.2675,2556.1675,2619.23625,2498.9325
491,6/29/2017,0.10325,0.027,0.86975,0.1503,2547.3225,2591.2675,2620.84375,2530.12125
492,6/30/2017,0.113,0.04,0.847,0.1413,2479.05499,2547.3225,2581.74125,2471.7925
493,7/1/2017,0.060714286,0.031857143,0.907428571,0.094657143,2424.69875,2479.05499,2547.0475,2396.01249
494,7/2/2017,0.221,0.05375,0.72525,0.414025,2513.74125,2424.69875,2551.065,2410.4725
495,7/3/2017,0.125444444,0.010111111,0.864444444,0.231255556,2640.06125,2513.74125,2648.85624,2510.3225
496,7/4/2017,0.0924,0.0158,0.8918,0.18156,2588.67875,2640.06125,2659.78875,2583.3525
497,7/5/2017,0.1395,0.031666667,0.828666667,0.200133333,2634.17375,2588.67875,2648.67999,2560.85
498,7/6/2017,0.11425,0.087083333,0.798666667,0.123633333,2598.57,2634.17375,2638.09875,2591.9825
499,7/7/2017,0.1235,0.059125,0.817375,0.0952625,2514.3625,2598.57,2603.47125,2482.77124
500,7/8/2017,0.147666667,0.078666667,0.773666667,0.2364,2586.0425,2514.3625,2588.38125,2506.30375
501,7/9/2017,0.049428571,0.054857143,0.895714286,-0.017428571,2524.12624,2586.0425,2590.7525,2510.28625
502,7/10/2017,0.0365,0.07875,0.88475,-0.056775,2352.265,2524.12624,2541.55625,2314.0775
503,7/11/2017,0.1136,0.0746,0.8118,0.1175,2292.91375,2352.265,2428.15749,2272.31625
504,7/12/2017,0.1421,0,0.8579,0.3771,2437.55375,2292.91375,2448.505,2292.41874
505,7/13/2017,0.088555556,0.052888889,0.858333333,0.097566667,2337.67875,2437.55375,2437.55375,2327.72875
506,7/14/2017,0.112375,0.096125,0.7915,0.023525,2109.37375,2337.67875,2372.83374,2105.24375
507,7/15/2017,0.162285714,0.100571429,0.737142857,0.192857143,2045.5725,2109.37375,2151.72875,1971.28375
508,7/16/2017,0.087333333,0.090555556,0.822111111,0.022344444,1986.9425,2045.5725,2055.7475,1836.92
509,7/17/2017,0.07375,0.069,0.85725,-0.0157,2189.23999,1986.9425,2246.11749,1986.9425
510,7/18/2017,0.118857143,0.036428571,0.844714286,0.263642857,2354.8925,2189.23999,2407.18874,2177.99375
511,7/19/2017,0.126333333,0.056,0.817666667,0.178,2349.355,2354.8925,2413.485,2258.1125
512,7/20/2017,0.092363636,0.062272727,0.845272727,0.096709091,2740.56875,2349.355,2946.36,2332.35375
513,7/21/2017,0.116642857,0.03,0.853357143,0.29485,2738.775,2740.56875,2814.5075,2639.31374
514,7/22/2017,0.118090909,0.026454545,0.855545455,0.296345455,2831.67875,2738.775,2875.7775,2725.06625
515,7/23/2017,0.087714286,0.033857143,0.878428571,0.166557143,2772.3675,2831.67875,2836.3775,2670.76125
516,7/24/2017,0.0648,0.0262,0.9089,0.13548,2768.8025,2772.3675,2813.96875,2720.71125
517,7/25/2017,0.135222222,0.096,0.768888889,0.154722222,2540.20874,2768.8025,2796.92125,2485.185
518,7/26/2017,0.073727273,0.087636364,0.838636364,-0.008518182,2570.195,2540.20874,2577.05875,2433.83125
519,7/27/2017,0.0938125,0.1205,0.7856875,0.02585,2699.72125,2570.195,2749.99875,2554.37
520,7/28/2017,0.121384615,0.046692308,0.831923077,0.193453846,2719.69,2699.72125,2833.2375,2682.87
521,7/29/2017,0.146916667,0.038083333,0.815,0.271325,2714.70375,2719.69,2780.2075,2693.95875
522,7/30/2017,0.0615,0.0835,0.855,-0.067566667,2718.6175,2714.70375,2753.33125,2615.8075
523,7/31/2017,0.0900625,0.084,0.825875,0.04558125,2867.65375,2718.6175,2902.37125,2706.8225
524,8/1/2017,0.118777778,0.113962963,0.767296296,0.016555556,2739.70875,2867.65375,2925.03375,2670.16333
525,8/2/2017,0.1116,0.0848,0.8036,0.11008,2740.07125,2739.70875,2765.5525,2681.46875
526,8/3/2017,0.0969375,0.0755625,0.827625,0.0216125,2811.71,2740.07125,2824.38,2731.19625
527,8/4/2017,0.09375,0.032125,0.874125,0.1189,3123.41125,2811.71,3167.555,2797.1175
528,8/5/2017,0.100806452,0.041387097,0.857806452,0.08753871,3254.71,3123.41125,3360.86625,3104.16875
529,8/6/2017,0.1215,0.0252,0.8532,0.26304,3274.6375,3254.71,3325.96625,3190.18625
530,8/7/2017,0.134764706,0.040764706,0.824470588,0.187258824,3474.7625,3274.6375,3476.81875,3258.405
531,8/8/2017,0.126157895,0.056421053,0.817473684,0.205794737,3416.185,3474.7625,3525.0375,3376.37
532,8/9/2017,0.13875,0.05625,0.80505,0.265115,3364.41125,3416.185,3442.98875,3280.325
533,8/10/2017,0.1249,0.0445,0.8306,0.21278,3451.8525,3364.41125,3474.335,3357.67125
534,8/11/2017,0.0704,0.045266667,0.884333333,0.06154,3705.43,3451.8525,3741.33125,3451.8525
535,8/12/2017,0.0996,0.0296,0.870866667,0.2097,4104.015,3705.43,4162.5725,3701.83375
536,8/13/2017,0.131592593,0.021851852,0.846518519,0.212366667,4036.7575,4104.015,4225.4025,3890.005
537,8/14/2017,0.073777778,0.057333333,0.869,0.020938889,4462.67625,4036.7575,4483.54749,4036.7575
538,8/15/2017,0.134607143,0.068928571,0.796428571,0.174057143,4118.9025,4462.67625,4470.34375,3892.72
539,8/16/2017,0.123461538,0.029076923,0.847384615,0.235292308,4322.42125,4118.9025,4440.76124,3985.23375
540,8/17/2017,0.071,0.036571429,0.8925,0.150057143,4311.685,4322.42125,4522.13,4225.5
541,8/18/2017,0.1735,0,0.8265,0.341383333,4180.23875,4311.685,4407.79625,4040.05375
542,8/19/2017,0.127266667,0.0614,0.811333333,0.1494,4139.38125,4180.23875,4235.06499,4033.53625
543,8/20/2017,0.0255,0.0955,0.879,-0.08755,4110.94125,4139.38125,4218.21125,4101.06125
544,8/21/2017,0.026,0.014,0.96,0.0592,3911.27625,4110.94125,4142.63875,3884.6225
545,8/22/2017,0.138,0.128125,0.7339375,-0.02640625,4162.79249,3911.27625,4197.76124,3687.27625
546,8/23/2017,0.079615385,0.056076923,0.864384615,0.097415385,4178.75625,4162.79249,4299.96875,4130.925
547,8/24/2017,0.123913043,0.06026087,0.815869565,0.111630435,4396.03125,4178.75625,4420.35999,4165.77375
548,8/25/2017,0.064846154,0.055307692,0.879846154,0.035353846,4359.9025,4396.03125,4496.29249,4320.22
549,8/26/2017,0.102111111,0.051222222,0.846666667,0.129822222,4381.39625,4359.9025,4439.29125,4309.3125
550,8/27/2017,0.107333333,0.109333333,0.783166667,-0.0109,4340.46,4381.39625,4416.0225,4340.46
551,8/28/2017,0.089285714,0.023785714,0.886928571,0.228742857,4442.6575,4340.46,4455.04625,4239.01124
552,8/29/2017,0.134714286,0.027142857,0.838214286,0.289342857,4664.64375,4442.6575,4703.41749,4400.15874
553,8/30/2017,0.105142857,0.007380952,0.88747619,0.225761905,4676.1425,4664.64375,4707.5525,4545.5375
554,8/31/2017,0.09505,0.0796,0.8253,0.023915,4783.17,4676.1425,4808.12125,4654.07
555,9/1/2017,0.170588235,0.021,0.808470588,0.3619,4864.285,4783.17,5013.9075,4726.74374
556,9/2/2017,0.1288,0.0713,0.7998,0.09753,4672.56875,4864.285,4902.26124,4529.37125
557,9/3/2017,0.074375,0.0095,0.916125,0.14275,4593.1825,4672.56875,4749.02875,4481.5225
558,9/4/2017,0.074142857,0.057928571,0.867928571,0.023635714,4160.535,4593.1825,4594.5775,4037.49875
559,9/5/2017,0.101695652,0.106913043,0.791347826,-0.010956522,4517.57,4160.535,4529.58875,4111.97124
560,9/6/2017,0.112333333,0.058733333,0.828933333,0.14858,4543.1025,4517.57,4666.46625,4517.57
561,9/7/2017,0.127352941,0.045941176,0.826705882,0.193064706,4628.6025,4543.1025,4691.97999,4506.6625
562,9/8/2017,0.025076923,0.078846154,0.896076923,-0.124215385,4280.975,4628.6025,4698.73125,4151.6425
563,9/9/2017,0.1624,0,0.8376,0.3963,4194.21875,4280.975,4394.51624,4161.9725
564,9/10/2017,0.114692308,0.046538462,0.838692308,0.144346154,4307.82625,4194.21875,4334.5075,3976.46125
565,9/11/2017,0.06625,0.1173125,0.816375,-0.0651125,4295.76124,4307.82625,4310.79125,4108.475
