,Unnamed: 0,Date,Positive,Negative,Neutral,Compound,Closing_price,Opening_price,High_price,Low_price
1314,1314,2019-09-30,0.09218518518518518,0.08103703703703705,0.8268148148148148,0.06555555555555555,[8241.34147],[8055.69413858],[8331.29168588],[7728.67842683]
1315,1315,2019-10-01,0.13395348837209306,0.04458139534883721,0.8214418604651161,0.2403581395348837,[8333.68919042],[8298.62477524],[8508.70540895],[8195.04524367]
1316,1316,2019-10-02,0.13488235294117648,0.03385294117647058,0.8312647058823529,0.2301764705882353,[8273.46401766],[8333.7102962],[8388.0158618],[8177.6946009]
1317,1317,2019-10-03,0.08437837837837839,0.08302702702702702,0.8325945945945945,0.04113783783783784,[8203.8438328],[8273.45741869],[8412.65004714],[8060.32531669]
1318,1318,2019-10-04,0.1146,0.08705,0.79835,0.019390000000000008,[8163.9026381],[8231.78624868],[8240.94876948],[8014.41932289]
1319,1319,2019-10-05,0.13297058823529412,0.06373529411764707,0.8032058823529411,0.27780000000000005,[8137.14668904],[8163.90144082],[8196.24951363],[8025.50046227]
1320,1320,2019-10-06,0.13667741935483868,0.06890322580645161,0.7942903225806452,0.1758193548387096,[7853.69330483],[8138.83348902],[8171.56825356],[7802.46485089]
1321,1321,2019-10-07,0.11317857142857142,0.11092857142857143,0.7759285714285714,0.004778571428571425,[8236.2083793],[7850.68457643],[8304.14013919],[7777.63157112]
1322,1322,2019-10-08,0.20144,0.04300000000000001,0.75552,0.435472,[8201.63781819],[8236.20587481],[8316.99067268],[8113.11180493]
1323,1323,2019-10-09,0.12755,0.06999999999999999,0.8024500000000001,0.164285,[8572.38081243],[8173.83880336],[8691.07269096],[8117.91223961]
1324,1324,2019-10-10,0.09497368421052632,0.07765789473684209,0.8273157894736842,0.009421052631578945,[8582.1445177],[8572.38230102],[8654.38277604],[8435.1865102]
1325,1325,2019-10-11,0.11280645161290324,0.0897741935483871,0.7974838709677421,0.12046774193548385,[8320.1715814],[8582.14812293],[8796.45728207],[8288.22763051]
1326,1326,2019-10-12,0.10736,0.058040000000000015,0.8346000000000001,0.12104399999999997,[8328.60426039],[8320.16815448],[8406.14241457],[8225.30145735]
1327,1327,2019-10-13,0.12483783783783785,0.0977837837837838,0.7772702702702703,0.08567027027027029,[8282.17732583],[8309.17291297],[8468.97363977],[8167.26490366]
1328,1328,2019-10-14,0.12203225806451612,0.051774193548387096,0.8261935483870968,0.19266774193548386,[8337.81899854],[8282.18159584],[8385.55341047],[8214.31886842]
1329,1329,2019-10-15,0.071,0.06357692307692307,0.8654230769230769,0.04904230769230769,[],[],[],[]
1330,1330,2019-10-16,0.11214035087719296,0.07373684210526317,0.8141052631578951,0.07511052631578947,[8003.82039479],[8166.34477326],[8184.38643574],[7918.27588137]
