Date,Positive,Negative,Neutral,Compound,Closing_price
4/26/2019,0.085421053,0.064842105,0.849736842,0.041455263,5151.574528
4/27/2019,0.094151515,0.06269697,0.843151515,0.084563636,5200.193239
4/28/2019,0.088391304,0.065043478,0.846521739,0.05866087,5152.54574
4/29/2019,0.1153,0.0619,0.822733333,0.14275,5151.4335
4/30/2019,0.104935484,0.050290323,0.844774194,0.137035484,5277.444469
5/1/2019,0.090285714,0.051171429,0.858542857,0.187782857,5297.942492
5/2/2019,0.106166667,0.058277778,0.8355,0.132375,5405.878067
5/3/2019,0.092472727,0.072109091,0.835436364,0.078894545,5697.679054
5/4/2019,0.081785714,0.087642857,0.830619048,0.03732381,5812.331779
5/5/2019,0.12659375,0.08625,0.78715625,0.08963125,5713.035052
5/6/2019,0.106918367,0.036693878,0.856387755,0.250753061,5706.008421
5/7/2019,0.092210526,0.065631579,0.842184211,0.047721053,5899.529693
5/8/2019,0.122731707,0.10597561,0.771341463,0.06132439,5932.441391
5/9/2019,0.105944444,0.085296296,0.808814815,0.093081481,6159.685902
5/10/2019,0.141344262,0.058967213,0.799655738,0.257395082,6387.82945
5/11/2019,0.113822917,0.041979167,0.8441875,0.242030208,7254.805536
5/12/2019,0.093043478,0.075101449,0.831855072,0.086118841,6992.706661
5/13/2019,0.112,0.047537879,0.840439394,0.227772727,7906.940835
5/14/2019,0.097622222,0.067466667,0.834955556,0.105141111,7928.417416
5/15/2019,0.125403509,0.062333333,0.812192982,0.199645614,8177.453519
5/16/2019,0.100415094,0.063377358,0.836207547,0.15250566,7820.076243
5/17/2019,0.081076923,0.085897436,0.833051282,-0.023397436,7243.650539
5/18/2019,0.102205128,0.056410256,0.841410256,0.134448718,7295.649729
5/19/2019,0.123877193,0.072210526,0.803982456,0.181112281,8221.259395
5/20/2019,0.124779412,0.066852941,0.808308824,0.175975,7917.012499
5/21/2019,0.127532258,0.047322581,0.825129032,0.178498387,7961.128743
5/22/2019,0.117209302,0.053348837,0.829488372,0.225034884,7723.90388
5/23/2019,0.100897959,0.048183673,0.850938776,0.214908163,7903.84691
5/24/2019,0.099825,0.05985,0.840275,0.1321025,8038.506791
5/25/2019,0.14592,0.0772,0.77692,0.141476,8089.570164
5/26/2019,0.116134615,0.058,0.825807692,0.1669,8653.142368
5/27/2019,0.118442857,0.061485714,0.820071429,0.179351429,8800.346606
5/28/2019,0.118472727,0.055127273,0.826472727,0.174714545,8719.331485
5/29/2019,0.134208333,0.0698125,0.796041667,0.199170833,8672.400107
5/30/2019,0.086612245,0.057265306,0.856102041,0.087679592,8287.040256
5/31/2019,0.110891892,0.045621622,0.843486486,0.230567568,8513.203882
6/1/2019,0.127972222,0.031805556,0.840194444,0.221216667,8588.479505
6/2/2019,0.123657143,0.079257143,0.797114286,0.127045714,8744.265561
6/3/2019,0.120518519,0.058555556,0.820888889,0.217055556,8474.048229
6/4/2019,0.087521739,0.070130435,0.842369565,0.061102174,7645.572514
6/5/2019,0.09090625,0.054875,0.85421875,0.09494375,7790.321135
6/6/2019,0.110677419,0.077612903,0.811709677,0.136980645,7730.881726
6/7/2019,0.100666667,0.07225641,0.827076923,0.061605128,8030.256079
6/8/2019,0.110096774,0.093741935,0.796193548,0.007764516,7949.425799
6/9/2019,0.087263158,0.080473684,0.832263158,0.080773684,7600.922492
6/10/2019,0.120846154,0.057692308,0.821307692,0.111580769,7954.006238
6/11/2019,0.128366667,0.0468,0.8249,0.198193333,7903.62525
6/12/2019,0.097076923,0.068038462,0.834846154,0.134469231,8151.78868
6/13/2019,0.135666667,0.054583333,0.809694444,0.1692,8256.720099
6/14/2019,0.110222222,0.056977778,0.832777778,0.200037778,8667.787954
6/15/2019,0.100409091,0.045113636,0.854477273,0.142709091,8836.168413
6/16/2019,0.091585714,0.070728571,0.837714286,0.055901429,9061.540461
6/17/2019,0.128617647,0.047852941,0.823514706,0.215919118,9346.975087
6/18/2019,0.0996125,0.0570375,0.8433875,0.15259,9012.48785
6/19/2019,0.089983871,0.058096774,0.851919355,0.116066129,9259.123638
6/20/2019,0.121537313,0.061820896,0.81661194,0.198983582,9559.900689
6/21/2019,0.134845361,0.064989691,0.800206186,0.176710309,9906.407965
6/22/2019,0.093060811,0.071445946,0.8355,0.061878378,10461.41217
6/23/2019,0.149811594,0.071202899,0.779014493,0.217918841,10843.57097
6/24/2019,0.106285714,0.0448,0.848885714,0.224171429,10996.45975
6/25/2019,0.110405405,0.046567568,0.842986486,0.198082432,11665.40968
6/26/2019,0.092653595,0.064052288,0.84327451,0.087283007,12444.92586
6/27/2019,0.097621212,0.069772727,0.832636364,0.108445455,11086.26883
6/28/2019,0.104981481,0.053314815,0.841740741,0.184892593,12316.95301
6/29/2019,0.110710526,0.059263158,0.83,0.170821053,12024.08097
6/30/2019,0.1040625,0.0679375,0.828,0.19151875,10932.31051
7/1/2019,0.111367347,0.05144898,0.837142857,0.19212449,10454.68382
7/2/2019,0.122089286,0.070178571,0.807732143,0.169375,10800.13014
7/3/2019,0.139515152,0.03980303,0.820681818,0.29605303,11942.24022
7/4/2019,0.141525,0.057025,0.80145,0.207675,11645.52461
7/5/2019,0.124763158,0.073973684,0.801289474,0.209534211,10946.20905
7/6/2019,0.105333333,0.058592593,0.836,0.158992593,11219.046
7/7/2019,0.122529412,0.063882353,0.813558824,0.133361765,11422.11447
7/8/2019,0.128236364,0.071563636,0.8002,0.192250909,12335.99939
7/9/2019,0.104181818,0.075981818,0.819836364,0.086529091,12575.90407
7/10/2019,0.0855,0.074180556,0.840291667,0.092702778,12054.18379
7/11/2019,0.111314286,0.078714286,0.810028571,0.120248571,11324.1447
7/12/2019,0.134351145,0.069045802,0.796572519,0.192074809,11802.95996
7/13/2019,0.125058824,0.036411765,0.83845098,0.209660784,11279.60274
7/14/2019,0.156020833,0.064208333,0.779791667,0.24949375,10506.39583
7/15/2019,0.143025641,0.050961538,0.805974359,0.259778205,10934.48274
7/16/2019,0.127231884,0.052811594,0.819927536,0.203081159,9490.410516
7/17/2019,0.119121212,0.068818182,0.812020202,0.142763636,9733.132134
7/18/2019,0.111766667,0.062166667,0.826083333,0.203391667,10603.34887
7/19/2019,0.074563636,0.057981818,0.867436364,0.009263636,10466.26094
7/20/2019,0.122477273,0.050295455,0.82725,0.206097727,10983.216
7/21/2019,0.076714286,0.041333333,0.881952381,0.107166667,10551.13163
7/22/2019,0.093707317,0.053609756,0.852731707,0.208992683,10285.63923
7/23/2019,0.104657143,0.067371429,0.827942857,0.116868571,10027.53261
7/24/2019,0.116571429,0.049214286,0.834214286,0.239904762,9771.504761
7/25/2019,0.124340909,0.054954545,0.820704545,0.250925,9897.429352
7/26/2019,0.129689655,0.094793103,0.775517241,0.124144828,9812.226351
7/27/2019,0.089,0.071885714,0.839114286,0.13518,9440.140037
7/28/2019,0.158851852,0.075148148,0.765962963,0.231122222,9495.855261
7/29/2019,0.12144898,0.059877551,0.818632653,0.172993878,9506.704273
7/30/2019,0.131414634,0.065707317,0.802829268,0.236319512,9572.735372
7/31/2019,0.146340426,0.081106383,0.772510638,0.238097872,10005.29447
8/1/2019,0.1771,0.05124,0.7716,0.362942,10385.20061
8/2/2019,0.107025,0.06345,0.829525,0.1354875,10513.91147
8/3/2019,0.098088235,0.074352941,0.8275,0.055411765,10831.25986
8/4/2019,0.078125,0.066375,0.855458333,0.090075,10985.80754
8/5/2019,0.122945055,0.09021978,0.786802198,0.102257143,11811.78705
8/6/2019,0.135096154,0.091826923,0.773115385,0.157934615,11310.18722
8/7/2019,0.12975,0.0784375,0.791833333,0.145983333,11956.04722
8/8/2019,0.119595238,0.056809524,0.823595238,0.191366667,11817.45548
8/9/2019,0.139408163,0.075938776,0.784612245,0.166222449,11827.57457
8/10/2019,0.144714286,0.048047619,0.807285714,0.2591,11278.28125
8/11/2019,0.130125,0.111375,0.758625,0.056425,11485.36578
8/12/2019,0.10126087,0.082934783,0.815804348,0.051495652,11391.96865
8/13/2019,0.10227027,0.067216216,0.830486486,0.100345946,10869.37911
8/14/2019,0.122071429,0.072142857,0.805803571,0.152008929,10211.49858
8/15/2019,0.121473684,0.092236842,0.786315789,0.117692105,10386.53955
8/16/2019,0.083204545,0.07525,0.841522727,0.035159091,10388.45059
8/17/2019,0.100296296,0.112851852,0.786851852,0.044333333,10212.10144
8/18/2019,0.119289474,0.092210526,0.788578947,0.023278947,10335.37284
8/19/2019,0.131317073,0.071902439,0.796731707,0.12142439,10774.81031
8/20/2019,0.135066667,0.04835,0.816566667,0.225446667,10818.50701
8/21/2019,0.164638889,0.071694444,0.763611111,0.200066667,10064.91679
8/22/2019,0.126836735,0.064693878,0.80844898,0.156934694,10161.16475
8/23/2019,0.124377778,0.094088889,0.7816,0.115746667,10364.28135
8/24/2019,0.075181818,0.087333333,0.837484848,-0.058412121,10171.49746
8/25/2019,0.106962963,0.113185185,0.779814815,0.003592593,10068.92242
8/26/2019,0.127294118,0.081294118,0.791470588,0.091961765,10312.21504
8/27/2019,0.096413793,0.096758621,0.806827586,0.042510345,10122.19653
8/28/2019,0.096783784,0.035486486,0.86772973,0.187367568,9743.162051
8/29/2019,0.138125,0.063125,0.798725,0.303805,9487.976434
8/30/2019,0.126108108,0.097486486,0.776324324,0.110518919,9590.736337
8/31/2019,0.127481481,0.052222222,0.820296296,0.152885185,9624.983911
9/1/2019,0.084666667,0.123666667,0.792,-0.117033333,9780.667897
9/2/2019,0.11677193,0.078701754,0.804561404,0.126866667,10381.85596
9/3/2019,0.129444444,0.0564,0.814088889,0.189095556,10691.3113
9/4/2019,0.090484848,0.091454545,0.818030303,0.027660606,10555.0469
9/5/2019,0.143625,0.0642,0.792275,0.2579525,10576.31789
9/6/2019,0.158697674,0.082837209,0.758488372,0.189344186,10334.02389
9/7/2019,0.124576923,0.053615385,0.821769231,0.234719231,10495.22736
9/8/2019,0.10727027,0.068162162,0.824594595,0.145191892,10402.79653
9/9/2019,0.110542857,0.056428571,0.832971429,0.172071429,10332.94219
9/10/2019,0.144032258,0.070354839,0.785612903,0.212319355,10082.94683
9/11/2019,0.118595238,0.064785714,0.816619048,0.18837619,10152.75298
9/12/2019,0.121932203,0.084542373,0.793457627,0.092488136,10396.7672
9/13/2019,0.17008,0.07172,0.75828,0.332972,10299.47696
9/14/2019,0.09204,0.03368,0.87428,0.213892,10351.23202
9/15/2019,0.083685714,0.032114286,0.884171429,0.148282857,10302.19071
9/16/2019,0.129875,0.07075,0.799375,0.180455,10301.65965
